Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Ronald Acuña Jr.,ATL,Ronald Acuna Jr. (ATL),38,135,99,56,0.405,0,0,0,0,0,0,1.04,1,3,0,0,0,0,0,0,1,1,0
Juan Soto,NYY,Juan Soto (NYY),38,116,103,11,0.425,0,0,0,0,0,0,9.43,3,15,0,0,0,0,0,0,1,1,0
Aaron Judge,NYY,Aaron Judge (NYY),46,110,114,8,0.386,0,0,0,0,0,0,13.59,8,21,0,0,0,0,0,0,1,1,0
Mookie Betts,LAD,Mookie Betts (LAD),34,116,90,14,0.373,0,0,0,0,0,0,4.84,2,11,0,0,1,0,1,1,1,1,0
Yordan Alvarez,HOU,Yordan Alvarez (HOU),39,107,108,1,0.399,0,0,0,0,0,0,15.83,12,22,0,0,0,0,0,0,1,1,0
Adley Rutschman,BAL,Adley Rutschman (BAL),19,87,71,3,0.372,0,0,0,0,0,0,54.61,33,81,1,0,0,0,0,0,0,1,0
Fernando Tatis Jr.,SDP,Fernando Tatis Jr. (SDP),37,107,99,27,0.35,0,0,0,0,0,0,8.18,4,14,0,0,0,0,0,0,1,1,0
Julio Rodríguez,SEA,Julio Rodriguez (SEA),33,103,95,31,0.346,0,0,0,0,0,0,3.31,2,8,0,0,0,0,0,0,1,1,0
José Ramírez,CLE,Jose Ramirez (CLE),28,94,97,23,0.365,0,0,0,0,0,0,15.75,11,23,0,0,0,1,0,1,0,1,0
Gunnar Henderson,BAL,Gunnar Henderson (BAL),28,88,92,11,0.341,0,0,0,0,0,0,29.88,16,42,0,0,0,1,1,1,0,1,0
Kyle Tucker,HOU,Kyle Tucker (HOU),33,99,106,25,0.366,0,0,0,0,0,0,6.79,3,11,0,0,0,0,0,0,1,1,0
Corey Seager,TEX,Corey Seager (TEX),30,94,88,3,0.367,0,0,0,0,0,0,30.2,16,51,0,0,0,0,1,1,0,1,0
Bobby Witt Jr.,KCR,Bobby Witt Jr. (KCR),30,102,94,42,0.329,0,0,0,0,0,0,2.68,1,6,0,0,0,0,1,1,0,1,0
Rafael Devers,BOS,Rafael Devers (BOS),36,104,103,5,0.36,0,0,0,0,0,0,22.58,15,35,0,0,0,1,0,1,0,1,0
Corbin Carroll,ARI,Corbin Carroll (ARI),26,104,83,42,0.353,0,0,0,0,0,0,6.31,2,11,0,0,0,0,0,0,1,1,0
Matt Olson,ATL,Matt Olson (ATL),41,103,112,1,0.371,0,0,0,0,0,0,14.67,9,21,0,1,0,0,0,1,0,1,0
Freddie Freeman,LAD,Freddie Freeman (LAD),26,101,97,13,0.387,0,0,0,0,0,0,9.23,3,16,0,1,0,0,0,1,0,1,0
Alex Bregman,HOU,Alex Bregman (HOU),24,90,90,3,0.367,0,0,0,0,0,0,88.09,61,120,0,0,0,1,0,1,0,1,0
Yandy Díaz,TBR,Yandy Diaz (TBR),21,100,72,4,0.388,0,0,0,0,0,0,134.93,99,184,0,1,0,0,0,1,0,1,0
Francisco Lindor,NYM,Francisco Lindor (NYM),27,92,85,21,0.333,0,0,0,0,0,0,23.93,14,35,0,0,0,0,1,1,0,1,0
Marcus Semien,TEX,Marcus Semien (TEX),28,102,80,16,0.335,0,0,0,0,0,0,30.12,16,41,0,0,1,0,0,1,0,1,0
Michael Harris II,ATL,Michael Harris II (ATL),23,80,83,22,0.337,0,0,0,0,0,0,26.03,15,35,0,0,0,0,0,0,1,1,0
William Contreras,MIL,William Contreras (MIL),23,82,76,4,0.351,0,0,0,0,0,0,78.42,61,97,1,0,0,0,0,0,0,1,0
Shohei Ohtani,LAD,Shohei Ohtani (LAD),39,113,105,20,0.375,0,0,0,1,1.17,3.49,11.48,4,24,0,0,0,0,0,0,0,1,1
Xander Bogaerts,SDP,Xander Bogaerts (SDP),20,87,74,12,0.348,0,0,0,0,0,0,101.31,70,130,0,0,1,0,1,1,0,1,0
Bo Bichette,TOR,Bo Bichette (TOR),25,87,92,12,0.334,0,0,0,0,0,0,39.42,26,56,0,0,0,0,1,1,0,1,0
Mike Trout,LAA,Mike Trout (LAA),36,94,99,3,0.353,0,0,0,0,0,0,57.75,34,85,0,0,0,0,0,0,1,1,0
Gleyber Torres,NYY,Gleyber Torres (NYY),26,95,83,15,0.342,0,0,0,0,0,0,73.79,50,105,0,0,1,0,0,1,0,1,0
Vladimir Guerrero Jr.,TOR,Vladimir Guerrero Jr. (TOR),35,101,102,7,0.366,0,0,0,0,0,0,30.46,13,45,0,1,0,0,0,1,0,1,0
Will Smith,LAD,Will Smith (LAD),22,70,77,2,0.351,0,0,0,0,0,0,85.01,49,109,1,0,0,0,0,0,0,1,0
Jose Altuve,HOU,Jose Altuve (HOU),26,104,78,16,0.353,0,0,0,0,0,0,40.66,26,66,0,0,1,0,0,1,0,1,0
Bryce Harper,PHI,Bryce Harper (PHI),29,94,97,13,0.389,0,0,0,0,0,0,17.23,10,24,0,1,0,0,0,1,0,1,0
Austin Riley,ATL,Austin Riley (ATL),35,96,109,3,0.347,0,0,0,0,0,0,17.9,13,23,0,0,0,1,0,1,0,1,0
Manny Machado,SDP,Manny Machado (SDP),32,87,100,6,0.337,0,0,0,0,0,0,54.91,37,71,0,0,0,1,0,1,0,1,0
Ozzie Albies,ATL,Ozzie Albies (ATL),29,99,93,13,0.333,0,0,0,0,0,0,23.41,15,34,0,0,1,0,0,1,0,1,0
Brandon Nimmo,NYM,Brandon Nimmo (NYM),20,97,68,6,0.364,0,0,0,0,0,0,193.47,155,250,0,0,0,0,0,0,1,1,0
Trea Turner,PHI,Trea Turner (PHI),22,94,83,25,0.332,0,0,0,0,0,0,12.66,8,19,0,0,0,0,1,1,0,1,0
Ketel Marte,ARI,Ketel Marte (ARI),21,95,82,7,0.352,0,0,0,0,0,0,113.74,84,150,0,0,1,0,0,1,0,1,0
Royce Lewis,MIN,Royce Lewis (MIN),28,78,90,12,0.336,0,0,0,0,0,0,48.18,31,70,0,0,0,1,0,1,0,1,0
Cal Raleigh,SEA,Cal Raleigh (SEA),28,67,78,1,0.304,0,0,0,0,0,0,143.03,108,185,1,0,0,0,0,0,0,1,0
Andrés Giménez,CLE,Andres Gimenez (CLE),19,83,76,27,0.328,0,0,0,0,0,0,104.31,82,133,0,0,1,0,0,1,0,1,0
Francisco Alvarez,NYM,Francisco Alvarez (NYM),25,59,66,3,0.316,0,0,0,0,0,0,147.73,102,186,1,0,0,0,0,0,0,1,0
J.P. Crawford,SEA,J.P. Crawford (SEA),14,86,60,4,0.355,0,0,0,0,0,0,318.47,190,360,0,0,0,0,1,1,0,1,0
Isaac Paredes,TBR,Isaac Paredes (TBR),27,74,81,1,0.344,0,0,0,0,0,0,191.6,96,266,0,1,0,1,0,1,0,1,0
Carlos Correa,MIN,Carlos Correa (MIN),21,78,77,1,0.344,0,0,0,0,0,0,245.39,121,323,0,0,0,0,1,1,0,1,0
Luis Robert Jr.,CHW,Luis Robert Jr. (CHW),33,86,98,19,0.318,0,0,0,0,0,0,32.72,20,57,0,0,0,0,0,0,1,1,0
Jung Hoo Lee,SFG,Jung Hoo Lee (SFG),12,84,57,9,0.354,0,0,0,0,0,0,230.91,124,301,0,0,0,0,0,0,1,1,0
Nolan Arenado,STL,Nolan Arenado (STL),28,83,98,4,0.323,0,0,0,0,0,0,105.81,52,140,0,0,0,1,0,1,0,1,0
Pete Alonso,NYM,Pete Alonso (NYM),42,94,110,4,0.34,0,0,0,0,0,0,24.84,15,35,0,1,0,0,0,1,0,1,0
Oneil Cruz,PIT,Oneil Cruz (PIT),26,89,72,22,0.328,0,0,0,0,0,0,48.14,13,83,0,0,0,0,1,1,0,1,0
Jonah Heim,TEX,Jonah Heim (TEX),17,56,61,3,0.31,0,0,0,0,0,0,177.97,140,226,1,0,0,0,0,0,0,1,0
Luis Arraez,MIA,Luis Arraez (MIA),9,82,59,5,0.372,0,0,0,0,0,0,164.61,110,238,0,0,1,0,0,1,0,1,0
Alejandro Kirk,TOR,Alejandro Kirk (TOR),11,43,43,1,0.359,0,0,0,0,0,0,255.55,180,351,1,0,0,0,0,0,0,1,0
Sean Murphy,ATL,Sean Murphy (ATL),17,52,55,1,0.341,0,0,0,0,0,0,146.67,115,183,1,0,0,0,0,0,0,1,0
Willy Adames,MIL,Willy Adames (MIL),26,79,83,7,0.32,0,0,0,0,0,0,186.36,130,232,0,0,0,0,1,1,0,1,0
Paul Goldschmidt,STL,Paul Goldschmidt (STL),28,97,88,8,0.361,0,0,0,0,0,0,82.92,41,119,0,1,0,0,0,1,0,1,0
Nico Hoerner,CHC,Nico Hoerner (CHC),11,74,65,29,0.342,0,0,0,0,0,0,65.19,37,92,0,0,1,0,1,1,0,1,0
Gabriel Moreno,ARI,Gabriel Moreno (ARI),11,55,55,7,0.348,0,0,0,0,0,0,161.74,129,221,1,0,0,0,0,0,0,1,0
Riley Greene,DET,Riley Greene (DET),18,84,71,8,0.343,0,0,0,0,0,0,147.78,102,178,0,0,0,0,0,0,1,1,0
CJ Abrams,WSN,CJ Abrams (WSN),17,80,64,35,0.311,0,0,0,0,0,0,33.75,19,50,0,0,0,0,1,1,0,1,0
Triston Casas,BOS,Triston Casas (BOS),28,84,89,2,0.371,0,0,0,0,0,0,89.07,64,118,0,1,0,0,0,1,0,1,0
Steven Kwan,CLE,Steven Kwan (CLE),9,92,59,20,0.357,0,0,0,0,0,0,213.61,133,291,0,0,0,0,0,0,1,1,0
Randy Arozarena,TBR,Randy Arozarena (TBR),24,85,86,24,0.346,0,0,0,0,0,0,43.72,26,59,0,0,0,0,0,0,1,1,0
Ian Happ,CHC,Ian Happ (CHC),22,89,75,12,0.346,0,0,0,0,0,0,178.95,131,226,0,0,0,0,0,0,1,1,0
Dansby Swanson,CHC,Dansby Swanson (CHC),22,77,77,10,0.319,0,0,0,0,0,0,127.94,90,186,0,0,0,0,1,1,0,1,0
George Springer,TOR,George Springer (TOR),27,94,75,16,0.332,0,0,0,0,0,0,121.22,75,147,0,0,0,0,0,0,1,1,0
Brandon Lowe,TBR,Brandon Lowe (TBR),23,72,67,5,0.329,0,0,0,0,0,0,282.95,210,360,0,0,1,0,0,1,0,1,0
Jeff McNeil,NYM,Jeff McNeil (NYM),11,69,71,5,0.347,0,0,0,0,0,0,329.13,205,359,0,0,1,0,0,1,1,1,0
Anthony Volpe,NYY,Anthony Volpe (NYY),20,69,70,22,0.306,0,0,0,0,0,0,119.59,87,142,0,0,0,0,1,1,0,1,0
Christian Yelich,MIL,Christian Yelich (MIL),20,89,76,21,0.363,0,0,0,0,0,0,74.86,51,95,0,0,0,0,0,0,1,1,0
Bryan Reynolds,PIT,Bryan Reynolds (PIT),25,94,84,9,0.346,0,0,0,0,0,0,91.48,70,142,0,0,0,0,0,0,1,1,0
Daulton Varsho,TOR,Daulton Varsho (TOR),25,72,77,16,0.308,0,0,0,0,0,0,197.59,154,257,0,0,0,0,0,0,1,1,0
Patrick Bailey,SFG,Patrick Bailey (SFG),9,38,39,2,0.294,0,0,0,0,0,0,358.84,294,356,1,0,0,0,0,0,0,1,0
Ha-Seong Kim,SDP,Ha-Seong Kim (SDP),15,70,63,24,0.329,0,0,0,0,0,0,87.64,56,127,0,0,1,1,1,1,0,1,0
Anthony Rendon,LAA,Anthony Rendon (LAA),18,82,62,7,0.353,0,0,0,0,0,0,359.95,301,360,0,0,0,1,0,1,0,1,0
J.T. Realmuto,PHI,J.T. Realmuto (PHI),18,62,68,14,0.318,0,0,0,0,0,0,76.63,56,102,1,0,0,0,0,0,0,1,0
Matt Chapman,SFG,Matt Chapman (SFG),22,71,76,4,0.321,0,0,0,0,0,0,280.53,192,359,0,0,0,1,0,1,0,1,0
Vinnie Pasquantino,KCR,Vinnie Pasquantino (KCR),25,81,85,2,0.362,0,0,0,0,0,0,168.6,132,230,0,1,0,0,0,1,0,1,0
Edouard Julien,MIN,Edouard Julien (MIN),16,74,51,6,0.357,0,0,0,0,0,0,208.45,141,276,0,0,1,0,0,1,0,1,0
Lars Nootbaar,STL,Lars Nootbaar (STL),17,68,58,8,0.359,0,0,0,0,0,0,288.29,182,360,0,0,0,0,0,0,1,1,0
Ke'Bryan Hayes,PIT,Ke'Bryan Hayes (PIT),17,75,75,17,0.323,0,0,0,0,0,0,148.18,115,201,0,0,0,1,0,1,0,1,0
Jeremy Peña,HOU,Jeremy Pena (HOU),18,72,72,13,0.316,0,0,0,0,0,0,236.24,138,318,0,0,0,0,1,1,0,1,0
Cedric Mullins,BAL,Cedric Mullins (BAL),19,85,65,30,0.319,0,0,0,0,0,0,148.14,115,190,0,0,0,0,0,0,1,1,0
Zack Gelof,OAK,Zack Gelof (OAK),21,78,68,20,0.309,0,0,0,0,0,0,125.98,93,168,0,0,1,0,0,1,0,1,0
Nolan Gorman,STL,Nolan Gorman (STL),28,70,80,6,0.324,0,0,0,0,0,0,179.6,136,226,0,0,1,0,0,1,0,1,0
Byron Buxton,MIN,Byron Buxton (MIN),29,78,76,10,0.307,0,0,0,0,0,0,195.03,101,279,0,0,0,0,0,0,0,1,0
Jorge Polanco,SEA,Jorge Polanco (SEA),22,74,76,6,0.326,0,0,0,0,0,0,242.91,158,328,0,0,1,0,0,1,0,1,0
Bryson Stott,PHI,Bryson Stott (PHI),14,66,65,18,0.327,0,0,0,0,0,0,110.72,55,174,0,0,1,0,0,1,0,1,0
Willson Contreras,STL,Willson Contreras (STL),21,64,67,5,0.343,0,0,0,0,0,0,142.59,111,167,1,0,0,0,0,0,0,1,0
Kyle Schwarber,PHI,Kyle Schwarber (PHI),41,106,91,6,0.35,0,0,0,0,0,0,85.23,48,143,0,0,0,0,0,0,1,1,0
Zach Neto,LAA,Zach Neto (LAA),18,67,64,10,0.318,0,0,0,0,0,0,300.68,224,360,0,0,0,0,1,1,0,1,0
Cody Bellinger,CHC,Cody Bellinger (CHC),25,78,85,18,0.323,0,0,0,0,0,0,59.55,23,88,0,1,0,0,0,1,1,1,0
Sal Frelick,MIL,Sal Frelick (MIL),10,76,53,15,0.344,0,0,0,0,0,0,275.3,215,358,0,0,0,0,0,0,1,1,0
Josh Jung,TEX,Josh Jung (TEX),26,73,84,4,0.305,0,0,0,0,0,0,137.35,96,214,0,0,0,1,0,1,0,1,0
Yoán Moncada,CHW,Yoan Moncada (CHW),18,75,67,3,0.324,0,0,0,0,0,0,354.68,267,359,0,0,0,1,0,1,0,1,0
Yainer Diaz,HOU,Yainer Diaz (HOU),21,54,63,1,0.312,0,0,0,0,0,0,106.92,85,150,1,0,0,0,0,0,0,1,0
Taylor Ward,LAA,Taylor Ward (LAA),21,76,77,6,0.346,0,0,0,0,0,0,221.23,163,295,0,0,0,0,0,0,1,1,0
Wyatt Langford,TEX,Wyatt Langford (TEX),23,73,74,12,0.355,0,0,0,0,0,0,77.93,41,157,0,0,0,0,0,0,1,1,0
Seiya Suzuki,CHC,Seiya Suzuki (CHC),23,81,77,9,0.346,0,0,0,0,0,0,96.76,56,132,0,0,0,0,0,0,1,1,0
Christian Walker,ARI,Christian Walker (ARI),29,84,96,6,0.334,0,0,0,0,0,0,94.09,62,138,0,1,0,0,0,1,0,1,0
Bo Naylor,CLE,Bo Naylor (CLE),14,44,45,5,0.337,0,0,0,0,0,0,175.46,146,240,1,0,0,0,0,0,0,1,0
Jazz Chisholm Jr.,MIA,Jazz Chisholm Jr. (MIA),27,76,83,27,0.31,0,0,0,0,0,0,54.7,34,74,0,0,0,0,0,0,1,1,0
Max Kepler,MIN,Max Kepler (MIN),21,69,73,4,0.332,0,0,0,0,0,0,290.34,225,360,0,0,0,0,0,0,1,1,0
Josh Naylor,CLE,Josh Naylor (CLE),23,74,86,8,0.344,0,0,0,0,0,0,132.53,102,178,0,1,0,0,0,1,0,1,0
Brendan Donovan,STL,Brendan Donovan (STL),13,75,54,7,0.369,0,0,0,0,0,0,297.77,233,360,0,0,1,0,0,1,1,1,0
Evan Carter,TEX,Evan Carter (TEX),16,71,68,15,0.348,0,0,0,0,0,0,107.21,66,193,0,0,0,0,0,0,1,1,0
Alec Bohm,PHI,Alec Bohm (PHI),18,68,72,4,0.332,0,0,0,0,0,0,166.6,123,251,0,1,0,1,0,1,0,1,0
Nolan Jones,COL,Nolan Jones (COL),24,81,83,16,0.355,0,0,0,0,0,0,55.99,28,84,0,0,0,0,0,0,1,1,0
Adolis García,TEX,Adolis Garcia (TEX),30,79,93,12,0.308,0,0,0,0,0,0,43.34,21,77,0,0,0,0,0,0,1,1,0
Anthony Santander,BAL,Anthony Santander (BAL),29,82,94,3,0.321,0,0,0,0,0,0,142.16,97,186,0,0,0,0,0,0,1,1,0
Jake Burger,MIA,Jake Burger (MIA),29,78,90,2,0.309,0,0,0,0,0,0,146.43,115,191,0,0,0,1,0,1,0,1,0
Elly De La Cruz,CIN,Elly De La Cruz (CIN),24,84,76,34,0.311,0,0,0,0,0,0,21.4,12,33,0,0,0,1,1,1,0,1,0
Thairo Estrada,SFG,Thairo Estrada (SFG),16,65,65,21,0.313,0,0,0,0,0,0,137.76,99,176,0,0,1,0,1,1,0,1,0
Max Muncy,LAD,Max Muncy (LAD),25,70,73,2,0.344,0,0,0,0,0,0,187.3,123,246,0,0,0,1,0,1,0,1,0
Vaughn Grissom,BOS,Vaughn Grissom (BOS),9,53,50,8,0.354,0,0,0,0,0,0,319.93,231,359,0,0,0,0,1,1,0,1,0
J.D. Davis,OAK,J.D. Davis (OAK),16,56,57,2,0.327,0,0,0,0,0,0,359.65,271,360,0,0,0,1,0,1,0,1,0
Jack Suwinski,PIT,Jack Suwinski (PIT),24,65,70,9,0.331,0,0,0,0,0,0,233.97,184,305,0,0,0,0,0,0,1,1,0
James Outman,LAD,James Outman (LAD),18,58,60,9,0.322,0,0,0,0,0,0,179.46,124,238,0,0,0,0,0,0,1,1,0
Jake Cronenworth,SDP,Jake Cronenworth (SDP),15,71,70,5,0.331,0,0,0,0,0,0,316.37,231,360,0,1,1,0,0,1,0,1,0
Alek Thomas,ARI,Alek Thomas (ARI),13,57,59,9,0.315,0,0,0,0,0,0,346.82,242,359,0,0,0,0,0,0,1,1,0
Jackson Holliday,BAL,Jackson Holliday (BAL),7,49,42,7,0.349,0,0,0,0,0,0,185.07,99,340,0,0,0,0,1,1,0,1,0
Nathaniel Lowe,TEX,Nathaniel Lowe (TEX),20,75,77,2,0.355,0,0,0,0,0,0,296.64,168,359,0,1,0,0,0,1,0,1,0
Eloy Jiménez,CHW,Eloy Jimenez (CHW),29,76,92,1,0.334,0,0,0,0,0,0,214.1,155,275,0,0,0,0,0,0,0,1,0
Jonathan India,CIN,Jonathan India (CIN),20,85,64,13,0.346,0,0,0,0,0,0,247.98,152,356,0,0,1,0,0,1,0,1,0
Josh Lowe,TBR,Josh Lowe (TBR),16,58,58,20,0.323,0,0,0,0,0,0,131.72,58,234,0,0,0,0,0,0,1,1,0
Ty France,SEA,Ty France (SEA),17,71,69,1,0.341,0,0,0,0,0,0,344.41,244,359,0,1,0,0,0,1,0,1,0
Rhys Hoskins,MIL,Rhys Hoskins (MIL),31,85,92,3,0.332,0,0,0,0,0,0,187.72,143,241,0,1,0,0,0,1,0,1,0
Maikel Garcia,KCR,Maikel Garcia (KCR),8,71,48,22,0.334,0,0,0,0,0,0,194.43,135,266,0,0,0,1,0,1,0,1,0
Henry Davis,PIT,Henry Davis (PIT),15,54,55,9,0.338,0,0,0,0,0,0,203.01,149,335,1,0,0,0,0,0,1,1,0
DJ LeMahieu,NYY,DJ LeMahieu (NYY),13,66,54,4,0.341,0,0,0,0,0,0,347.35,257,359,0,1,0,1,0,1,0,1,0
Leody Taveras,TEX,Leody Taveras (TEX),13,58,56,15,0.317,0,0,0,0,0,0,305.41,207,359,0,0,0,0,0,0,1,1,0
Luis Rengifo,LAA,Luis Rengifo (LAA),16,59,59,8,0.32,0,0,0,0,0,0,254.82,158,343,0,0,1,1,1,1,1,1,0
Chas McCormick,HOU,Chas McCormick (HOU),18,59,61,13,0.325,0,0,0,0,0,0,149.9,102,182,0,0,0,0,0,0,1,1,0
Gavin Lux,LAD,Gavin Lux (LAD),10,53,47,8,0.342,0,0,0,0,0,0,286.15,155,360,0,0,1,0,0,1,1,1,0
Jordan Westburg,BAL,Jordan Westburg (BAL),11,45,44,5,0.323,0,0,0,0,0,0,308.7,183,360,0,0,1,1,0,1,0,1,0
Jorge Soler,SFG,Jorge Soler (SFG),33,89,86,2,0.332,0,0,0,0,0,0,164.77,109,234,0,0,0,0,0,0,1,1,0
Trevor Story,BOS,Trevor Story (BOS),21,75,78,23,0.304,0,0,0,0,0,0,165.18,108,224,0,0,0,0,1,1,0,1,0
Colt Keith,DET,Colt Keith (DET),14,52,54,3,0.326,0,0,0,0,0,0,291.82,211,354,0,0,1,1,0,1,0,1,0
Ryan Mountcastle,BAL,Ryan Mountcastle (BAL),24,69,77,4,0.326,0,0,0,0,0,0,256.06,181,331,0,1,0,0,0,1,0,1,0
Spencer Torkelson,DET,Spencer Torkelson (DET),30,83,90,3,0.332,0,0,0,0,0,0,121.16,61,168,0,1,0,0,0,1,0,1,0
Logan O'Hoppe,LAA,Logan O'Hoppe (LAA),22,57,64,3,0.329,0,0,0,0,0,0,156.93,121,199,1,0,0,0,0,0,0,1,0
Parker Meadows,DET,Parker Meadows (DET),15,70,52,13,0.309,0,0,0,0,0,0,243.36,173,320,0,0,0,0,0,0,1,1,0
Davis Schneider,TOR,Davis Schneider (TOR),13,46,45,4,0.339,0,0,0,0,0,0,357.95,274,357,0,0,1,0,0,1,0,1,0
Christopher Morel,CHC,Christopher Morel (CHC),25,67,75,10,0.314,0,0,0,0,0,0,175.45,123,212,0,0,0,0,0,0,1,1,0
